sex,length (mm),diameter (mm),height (mm),whole_weight (g),shucked_weight (g),viscera_weight (g),shell_weight (g),rings
F,123.0,104.0,30.0,268.7,125.8,52.1,69.0,10
M,123.0,102.0,30.0,259.2,109.0,66.3,64.0,9
M,123.0,101.0,33.0,268.0,106.3,56.3,82.0,12
F,124.0,101.0,32.0,274.5,125.7,55.0,73.7,11
M,124.0,100.0,33.0,261.4,127.1,50.9,63.0,9
F,125.0,98.0,31.0,241.7,93.0,32.4,82.2,11
F,125.0,98.0,40.0,276.5,117.9,57.0,76.2,11
M,126.0,101.0,33.0,252.0,90.5,55.1,81.2,14
M,127.0,102.0,34.0,271.1,123.8,61.0,78.0,9
F,127.0,100.0,30.0,275.2,129.9,72.2,62.0,10
F,127.0,97.0,33.0,258.9,133.6,52.1,54.3,9
F,128.0,102.0,33.0,297.2,151.9,66.4,64.2,8
M,130.0,105.0,35.0,294.3,135.0,63.0,79.8,11
M,131.0,104.0,33.0,281.9,117.2,58.2,81.0,9
M,131.0,116.0,41.0,416.1,191.8,68.3,120.2,17
M,132.0,106.0,34.0,278.1,118.1,42.4,90.6,15
M,132.0,104.0,38.0,311.6,151.0,59.6,80.0,10
F,134.0,117.0,32.0,261.8,108.9,58.9,82.6,10
F,135.0,105.0,34.0,361.9,156.8,78.2,91.0,12
F,135.0,105.0,31.0,295.7,125.6,68.1,84.0,9
F,136.0,112.0,39.0,355.5,172.2,64.4,83.0,11
F,137.0,108.0,32.0,333.5,166.6,75.5,95.0,11
F,139.0,112.0,44.0,366.8,169.1,84.4,91.0,11
M,146.0,119.0,46.0,565.1,229.3,83.8,179.4,17
I,41.0,28.0,10.0,9.2,3.3,2.4,2.7,6
I,48.0,35.0,11.0,14.1,5.0,2.8,4.2,5
I,48.0,35.0,13.0,13.3,6.2,2.7,3.4,3
I,51.0,38.0,10.0,16.6,5.9,4.3,5.4,6
I,51.0,36.0,11.0,16.6,6.2,4.3,4.0,4
I,53.0,39.0,12.0,18.4,6.9,5.0,4.9,6
I,56.0,24.0,15.0,23.4,9.1,5.8,6.9,4
I,59.0,46.0,16.0,32.5,13.0,10.0,7.7,5
I,60.0,47.0,16.0,26.2,10.0,5.3,8.6,4
I,60.0,46.0,19.0,27.7,11.2,7.3,7.4,6
I,61.0,44.0,14.0,28.2,12.4,6.2,7.4,5
I,63.0,47.0,15.0,29.7,11.7,7.5,8.5,6
I,63.0,46.0,14.0,28.8,10.6,6.1,8.0,8
I,64.0,48.0,18.0,31.5,14.0,5.3,8.5,5
I,65.0,48.0,15.0,37.4,16.5,8.9,10.0,6
I,66.0,53.0,17.0,39.2,15.5,6.1,8.9,6
I,67.0,50.0,15.0,36.5,14.1,8.8,11.0,7
I,67.0,50.0,15.0,37.2,18.9,7.6,8.9,7
I,68.0,50.0,15.0,35.7,13.3,9.1,9.0,5
I,68.0,50.0,14.0,44.5,20.8,8.5,11.0,7
I,69.0,53.0,20.0,49.1,22.2,10.7,13.0,7
I,74.0,58.0,19.0,49.8,20.9,11.6,13.4,6
I,74.0,56.0,19.0,57.3,30.1,13.8,15.9,7
I,75.0,56.0,18.0,43.0,16.8,12.0,11.0,6
I,77.0,53.0,16.0,50.2,24.8,7.4,14.0,6
I,82.0,62.0,18.0,67.8,31.0,13.9,18.0,7
I,82.0,61.0,18.0,70.7,31.4,14.9,20.0,7
I,82.0,62.0,18.0,66.7,32.7,12.2,18.2,6
I,83.0,66.0,18.0,71.9,34.0,16.2,18.0,6
I,84.0,64.0,23.0,75.2,33.8,18.4,20.0,5
I,84.0,63.0,20.0,68.7,31.4,15.9,18.0,6
I,85.0,68.0,20.0,76.4,32.8,19.2,20.0,6
I,85.0,63.0,20.0,75.4,32.9,14.4,21.0,6
I,86.0,65.0,20.0,72.9,31.5,16.5,21.0,7
I,86.0,65.0,18.0,85.0,43.4,17.4,19.0,7
I,87.0,65.0,24.0,79.9,36.3,12.2,22.5,8
I,87.0,68.0,23.0,78.5,36.5,15.6,22.9,6
I,88.0,69.0,26.0,89.9,41.8,16.7,26.8,6
I,88.0,65.0,18.0,70.0,29.6,13.4,21.0,7
F,89.0,67.0,22.0,87.1,40.5,21.9,23.9,6
I,89.0,70.0,26.0,83.9,33.9,18.9,23.9,7
I,90.0,72.0,26.0,95.6,38.2,25.4,27.4,7
I,90.0,71.0,21.0,88.9,39.4,18.6,26.7,8
I,90.0,69.0,22.0,94.0,47.1,17.1,22.7,7
I,90.0,67.0,21.0,89.4,46.7,30.6,23.8,7
I,91.0,71.0,25.0,106.5,45.0,25.2,29.3,7
I,91.0,75.0,24.0,99.4,47.1,21.1,25.9,6
I,92.0,72.0,20.0,92.7,46.5,18.6,23.0,7
I,92.0,69.0,21.0,89.8,39.2,18.9,25.3,7
I,93.0,73.0,23.0,93.4,46.3,18.5,22.6,7
I,93.0,74.0,23.0,106.8,52.2,19.6,28.6,7
I,93.0,69.0,22.0,88.3,35.1,18.1,24.0,7
F,93.0,70.0,25.0,96.4,46.0,21.2,21.9,6
M,94.0,73.0,24.0,122.4,65.4,30.0,28.0,8
F,94.0,73.0,24.0,116.4,58.0,18.4,29.2,8
M,95.0,74.0,25.0,107.4,44.4,24.3,30.0,9
F,95.0,72.0,24.0,118.3,64.9,22.0,25.4,6
M,96.0,75.0,23.0,135.3,64.1,21.3,34.0,6
M,96.0,77.0,29.0,128.0,58.5,28.1,31.5,6
M,96.0,72.0,20.0,87.8,38.8,19.8,23.0,8
M,96.0,73.0,24.0,120.3,62.4,23.4,28.0,7
F,97.0,74.0,23.0,95.7,39.9,19.1,25.8,7
M,98.0,77.0,25.0,129.8,64.0,24.8,33.9,8
M,99.0,79.0,27.0,126.7,60.7,25.9,29.9,8
M,99.0,80.0,27.0,122.0,54.4,28.7,28.8,7
M,100.0,78.0,27.0,131.9,62.9,30.7,31.3,6
I,100.0,77.0,24.0,112.0,56.7,20.6,27.0,8
M,100.0,77.0,27.0,128.5,63.9,25.8,30.7,7
M,100.0,80.0,25.0,134.5,67.2,24.0,36.5,7
F,101.0,78.0,26.0,134.8,63.3,28.2,35.7,9
I,101.0,78.0,30.0,137.0,72.4,26.2,31.2,8
M,101.0,82.0,25.0,128.4,57.8,26.6,31.0,9
I,101.0,71.0,25.0,120.2,50.0,24.1,37.0,8
M,102.0,78.0,27.0,153.8,78.7,29.1,38.0,8
I,102.0,75.0,20.0,115.7,47.6,24.5,35.0,7
I,102.0,81.0,27.0,153.8,73.1,31.7,36.0,7
M,102.0,81.0,30.0,140.7,69.4,26.8,37.7,8
M,102.0,82.0,29.0,159.2,77.3,36.3,39.1,8
F,103.0,86.0,28.0,166.8,73.4,40.0,46.0,8
M,103.0,78.0,31.0,142.5,73.9,27.4,31.0,7
F,105.0,83.0,28.0,144.8,69.5,34.6,35.0,8
M,105.0,80.0,28.0,146.5,66.8,31.5,34.0,11
F,106.0,85.0,26.0,151.7,65.0,39.4,41.0,8
F,106.0,85.0,30.0,169.9,65.6,46.4,40.4,8
M,106.0,81.0,25.0,130.3,54.3,32.1,37.2,7
F,107.0,80.0,27.0,164.3,78.7,39.2,41.0,8
M,107.0,86.0,28.0,143.3,57.1,31.9,43.1,8
M,107.0,87.0,28.0,174.8,74.7,45.8,43.9,8
F,110.0,89.0,31.0,198.1,108.8,35.6,43.6,9
F,110.0,86.0,28.0,162.1,73.6,32.2,55.0,9
F,112.0,91.0,32.0,193.4,90.5,41.4,54.8,9
F,113.0,80.0,26.0,139.5,61.5,33.3,36.0,8
M,114.0,90.0,31.0,239.0,112.5,51.3,59.0,10
M,114.0,90.0,31.0,238.7,102.6,42.0,68.6,10
F,114.0,91.0,30.0,221.4,108.0,51.0,54.0,8
M,114.0,89.0,28.0,212.7,105.3,43.9,48.0,8
M,114.0,92.0,34.0,180.7,81.5,38.7,42.8,7
M,115.0,95.0,32.0,222.8,99.1,54.9,58.0,9
F,115.0,92.0,32.0,220.6,107.6,44.2,49.8,9
F,116.0,92.0,30.0,223.1,111.5,45.1,58.0,7
F,116.0,92.0,36.0,210.3,81.9,51.9,55.2,8
M,116.0,91.0,30.0,202.4,99.7,42.3,56.7,10
F,116.0,90.0,29.0,227.4,111.7,44.0,58.0,8
M,116.0,98.0,26.0,226.7,117.2,51.3,47.4,9
M,118.0,93.0,31.0,227.2,104.9,52.3,55.0,11
M,118.0,94.0,32.0,241.2,95.8,48.5,61.8,8
F,118.0,91.0,29.0,212.6,103.1,48.9,50.0,8
F,119.0,94.0,31.0,224.2,90.3,35.6,31.0,11
F,119.0,90.0,30.0,222.8,117.3,44.1,50.0,11
M,119.0,95.0,33.0,242.6,124.2,48.7,54.8,9
F,119.0,92.0,28.0,200.9,93.1,41.9,50.3,9
M,119.0,91.0,30.0,208.8,103.6,44.1,54.0,9
F,121.0,98.0,30.0,226.9,105.3,52.9,59.0,9
M,121.0,95.0,31.0,232.2,114.4,49.1,55.0,9
M,121.0,94.0,33.0,246.3,120.5,52.4,58.5,11
M,122.0,94.0,30.0,232.5,113.0,51.6,61.7,11
M,122.0,95.0,31.0,233.6,110.8,47.8,65.9,10
F,123.0,96.0,32.0,250.5,117.0,51.9,66.0,8
F,124.0,102.0,36.0,266.3,118.8,55.2,77.6,11
F,125.0,96.0,34.0,270.5,124.7,55.6,73.0,10
M,125.0,98.0,35.0,266.5,114.1,54.2,81.0,10
F,125.0,95.0,35.0,228.7,95.1,49.5,69.8,10
F,125.0,100.0,33.0,257.6,114.6,60.7,63.0,9
F,125.0,97.0,40.0,276.0,116.9,60.4,80.2,9
M,126.0,97.0,31.0,255.6,127.4,55.0,62.0,8
F,126.0,99.0,33.0,261.5,119.8,56.8,63.0,11
M,126.0,96.0,30.0,235.7,103.7,49.6,64.7,8
M,127.0,98.0,35.0,275.0,124.6,54.1,79.0,11
M,127.0,105.0,37.0,281.3,136.8,60.0,74.9,10
M,128.0,101.0,31.0,280.5,141.0,53.1,67.0,10
F,128.0,100.0,34.0,303.5,138.6,65.2,81.8,11
F,128.0,100.0,35.0,278.8,98.7,58.2,80.0,10
F,129.0,100.0,31.0,244.1,122.9,47.2,63.7,10
M,129.0,104.0,35.0,327.2,155.8,68.4,86.4,11
M,129.0,104.0,35.0,312.2,141.8,71.1,80.0,8
F,129.0,101.0,33.0,286.5,136.8,61.6,67.2,8
M,129.0,100.0,35.0,267.7,126.6,59.8,69.8,11
F,129.0,100.0,32.0,249.3,109.5,65.4,60.0,10
F,129.0,103.0,30.0,242.4,103.0,41.1,77.0,10
M,130.0,99.0,32.0,260.8,114.0,62.4,74.5,9
M,130.0,104.0,42.0,335.7,133.3,61.6,92.0,11
M,130.0,105.0,37.0,324.4,132.9,64.5,95.4,10
F,131.0,92.0,32.0,298.8,137.9,66.2,36.5,9
F,131.0,102.0,35.0,330.5,170.3,67.3,80.6,10
F,132.0,101.0,37.0,305.6,138.0,60.5,88.2,11
M,132.0,107.0,38.0,318.1,128.5,59.4,103.5,9
M,132.0,99.0,39.0,325.5,118.8,71.9,97.0,10
F,132.0,95.0,36.0,273.9,128.2,58.8,67.0,6
M,134.0,105.0,33.0,321.7,136.4,62.9,80.1,11
F,135.0,114.0,45.0,317.4,147.8,59.9,87.0,10
F,135.0,113.0,39.0,367.5,152.9,72.3,110.6,12
M,136.0,107.0,37.0,321.4,144.9,64.3,99.6,12
M,138.0,105.0,35.0,340.1,165.1,72.4,81.0,8
M,138.0,101.0,40.0,374.4,178.6,80.3,96.0,10
F,139.0,107.0,35.0,367.7,160.7,79.2,100.6,10
F,141.0,107.0,36.0,337.0,138.6,84.0,80.9,12
M,142.0,113.0,41.0,439.6,202.4,104.5,109.5,11
M,143.0,113.0,35.0,390.5,152.9,83.7,82.7,10
F,143.0,105.0,37.0,312.0,133.1,76.6,81.0,11
F,147.0,120.0,44.0,511.0,226.7,88.0,120.0,11
M,153.0,120.0,44.0,460.4,201.4,101.8,124.1,12
I,37.0,26.0,9.0,5.8,2.4,1.5,1.9,4
I,39.0,30.0,9.0,7.5,3.6,1.2,2.2,3
I,39.0,27.0,8.0,6.5,2.7,1.0,1.9,4
I,40.0,31.0,8.0,8.7,3.1,1.8,1.4,4
I,45.0,33.0,11.0,11.8,5.4,2.5,3.0,4
I,49.0,36.0,13.0,14.2,6.0,2.6,4.3,4
I,50.0,36.0,13.0,13.7,4.9,3.1,4.5,5
I,53.0,39.0,11.0,16.8,7.3,3.5,5.0,7
I,55.0,39.0,13.0,21.2,10.8,4.0,5.6,6
I,56.0,42.0,17.0,21.5,8.3,4.8,6.8,5
I,57.0,44.0,13.0,19.2,8.1,4.1,6.0,5
I,60.0,44.0,16.0,25.1,11.0,5.3,7.8,6
I,63.0,47.0,11.0,30.2,13.0,5.4,7.8,6
I,64.0,45.0,17.0,28.3,13.5,5.9,8.1,6
I,68.0,53.0,16.0,40.3,18.0,9.5,11.0,5
I,74.0,56.0,20.0,44.2,23.3,5.3,12.7,6
I,75.0,56.0,16.0,46.9,22.5,9.1,13.4,6
I,75.0,55.0,20.0,46.5,23.3,8.4,13.0,6
I,77.0,58.0,16.0,49.7,24.4,9.9,13.0,7
I,80.0,64.0,19.0,69.6,38.8,10.6,17.4,6
I,81.0,60.0,22.0,64.0,34.4,8.8,18.6,7
I,82.0,60.0,20.0,56.4,25.1,11.4,17.5,7
I,82.0,65.0,20.0,64.9,26.4,14.4,21.2,6
I,84.0,60.0,21.0,63.2,25.1,14.0,20.7,7
I,84.0,64.0,22.0,72.5,34.8,12.7,21.0,7
I,84.0,62.0,19.0,55.8,25.1,10.2,17.6,6
I,85.0,65.0,23.0,73.7,32.4,17.3,20.9,7
M,86.0,67.0,24.0,79.4,39.7,17.3,20.7,7
I,87.0,66.0,22.0,82.6,41.1,19.2,19.2,6
I,87.0,69.0,23.0,83.6,44.4,14.7,21.2,7
I,88.0,66.0,22.0,74.1,30.9,16.8,24.0,7
I,89.0,69.0,21.0,81.8,33.5,20.3,23.4,7
I,89.0,68.0,29.0,86.8,38.9,18.1,26.0,7
I,89.0,67.0,22.0,82.2,39.7,18.7,21.8,8
I,90.0,73.0,25.0,92.4,42.7,19.7,26.3,8
I,90.0,68.0,24.0,98.5,48.2,21.5,24.0,6
I,90.0,66.0,21.0,74.3,37.3,15.7,19.5,7
I,90.0,66.0,20.0,82.2,38.9,20.0,19.6,6
I,90.0,66.0,22.0,73.7,32.0,17.7,20.4,6
I,92.0,70.0,23.0,83.1,36.0,19.6,23.5,7
M,94.0,72.0,21.0,108.8,54.0,27.9,25.8,7
I,94.0,76.0,25.0,96.9,42.2,21.5,28.4,6
I,95.0,70.0,22.0,91.3,41.2,19.8,26.0,6
I,95.0,70.0,20.0,90.9,43.3,22.2,23.0,7
I,96.0,76.0,25.0,124.9,67.9,21.7,33.3,8
M,98.0,93.0,25.0,104.5,47.0,26.0,28.2,7
I,100.0,75.0,28.0,109.9,49.6,22.4,31.7,7
I,100.0,75.0,24.0,108.4,43.0,23.2,34.0,9
I,100.0,76.0,25.0,103.8,49.7,22.7,26.8,8
M,100.0,78.0,25.0,104.3,49.7,23.4,26.2,6
F,101.0,78.0,25.0,108.9,49.2,30.0,28.1,7
I,102.0,81.0,25.0,135.9,69.3,27.9,36.4,8
F,102.0,80.0,25.0,109.0,52.2,23.0,27.7,6
I,102.0,80.0,25.0,111.5,52.3,23.9,30.5,9
I,102.0,76.0,23.0,103.1,43.0,22.7,33.2,8
I,103.0,77.0,25.0,122.3,63.5,25.3,30.0,8
M,104.0,80.0,29.0,155.3,70.5,36.9,37.0,9
I,104.0,76.0,27.0,107.9,45.9,26.6,31.4,8
I,104.0,76.0,25.0,110.9,57.6,25.9,33.4,8
F,104.0,92.0,30.0,203.8,104.6,39.7,50.8,7
I,105.0,80.0,26.0,129.1,65.0,24.9,34.0,8
I,105.0,80.0,28.0,120.2,52.5,25.7,36.7,9
M,105.0,81.0,24.0,151.1,75.1,31.1,40.2,9
I,105.0,79.0,24.0,121.6,59.4,27.9,28.1,8
I,106.0,80.0,25.0,123.4,55.8,25.4,38.0,8
I,107.0,78.0,25.0,119.8,51.9,29.8,33.8,9
I,108.0,84.0,28.0,133.3,62.5,27.6,37.9,10
M,109.0,78.0,27.0,156.7,84.5,36.3,31.2,7
M,109.0,82.0,24.0,158.6,86.8,28.1,38.0,9
M,109.0,83.0,28.0,164.0,92.3,25.4,43.6,9
F,110.0,83.0,27.0,162.9,85.4,37.1,35.0,8
F,110.0,86.0,30.0,168.0,79.0,39.0,44.6,8
M,110.0,85.0,30.0,166.3,82.2,35.3,43.3,10
M,112.0,86.0,29.0,179.9,92.8,35.5,46.8,9
M,112.0,89.0,32.0,179.3,84.0,43.5,44.3,8
F,112.0,88.0,31.0,128.1,67.2,35.3,49.0,8
M,112.0,83.0,29.0,170.4,86.0,37.7,41.0,8
M,113.0,91.0,30.0,191.9,91.3,47.9,46.0,9
M,113.0,87.0,30.0,198.0,115.9,36.5,41.2,8
F,113.0,90.0,35.0,201.9,89.4,47.5,52.9,9
M,114.0,92.0,30.0,207.5,108.3,40.7,50.0,9
F,114.0,89.0,29.0,175.5,82.4,43.4,44.0,8
I,114.0,88.0,30.0,151.0,68.5,32.0,44.8,8
F,115.0,92.0,29.0,198.9,93.2,45.8,53.0,7
F,115.0,90.0,32.0,213.6,111.2,42.8,51.5,10
M,115.0,87.0,28.0,169.1,80.2,38.2,44.4,9
F,115.0,94.0,33.0,173.8,87.0,39.4,47.6,9
M,115.0,91.0,27.0,181.4,84.9,39.4,52.0,9
I,115.0,87.0,26.0,161.0,63.1,43.1,49.0,10
M,115.0,89.0,34.0,204.5,109.8,43.5,45.6,9
M,115.0,89.0,29.0,169.4,83.0,38.9,44.0,9
M,116.0,91.0,30.0,222.8,95.3,43.1,53.0,8
M,116.0,91.0,39.0,371.8,189.0,85.2,88.2,9
M,116.0,89.0,27.0,162.8,75.5,38.3,44.0,9
M,116.0,90.0,28.0,192.3,97.2,36.3,50.6,9
M,116.0,90.0,29.0,200.5,109.4,39.5,45.9,8
F,116.0,90.0,31.0,186.0,77.0,49.2,53.0,9
M,117.0,92.0,29.0,186.7,95.6,36.5,47.0,9
M,117.0,93.0,32.0,191.1,91.9,47.2,53.0,7
M,118.0,94.0,30.0,199.1,96.2,46.4,48.0,8
F,120.0,95.0,32.0,205.3,97.0,49.9,51.3,9
M,120.0,91.0,34.0,238.3,139.2,47.9,48.0,8
F,120.0,93.0,30.0,220.5,109.1,52.4,50.0,8
M,120.0,93.0,31.0,203.3,102.4,49.3,45.0,10
F,121.0,94.0,33.0,235.5,122.2,45.5,58.4,9
M,121.0,95.0,28.0,223.5,111.0,51.4,54.8,9
M,121.0,96.0,34.0,236.7,116.4,47.3,63.4,10
F,121.0,95.0,33.0,211.2,86.6,43.9,71.4,9
M,122.0,97.0,32.0,202.9,106.3,42.4,48.3,8
M,122.0,97.0,29.0,266.1,156.6,45.1,57.3,9
M,122.0,94.0,33.0,210.4,99.6,48.4,53.4,9
M,123.0,92.0,34.0,211.3,96.3,54.4,54.0,10
F,123.0,93.0,30.0,184.6,92.3,36.5,48.3,9
F,123.0,95.0,31.0,205.4,89.4,50.0,57.0,9
M,124.0,94.0,27.0,203.9,106.3,40.1,49.5,8
M,124.0,90.0,40.0,171.6,85.7,30.5,48.1,8
F,124.0,96.0,32.0,222.5,112.7,48.9,56.2,8
F,125.0,97.0,35.0,274.9,146.7,54.3,66.4,9
M,125.0,96.0,37.0,241.3,117.4,58.0,57.2,8
M,126.0,94.0,31.0,226.5,117.8,42.2,57.4,8
M,126.0,100.0,35.0,252.9,112.7,61.3,68.5,10
F,127.0,99.0,3.0,231.3,102.3,61.6,57.7,9
M,128.0,103.0,33.0,273.8,126.4,68.3,71.6,10
M,129.0,106.0,39.0,278.0,129.3,58.9,74.7,10
F,129.0,96.0,34.0,226.9,105.6,50.8,61.0,10
F,130.0,100.0,38.0,292.8,128.3,67.8,84.9,9
M,130.0,100.0,31.0,240.4,113.0,62.7,58.8,11
M,131.0,103.0,32.0,262.0,110.6,73.8,69.0,11
F,131.0,102.0,35.0,283.0,117.7,74.5,72.8,10
F,132.0,106.0,37.0,269.2,109.2,54.1,95.2,11
M,133.0,105.0,32.0,272.6,125.8,55.8,68.0,8
I,133.0,100.0,34.0,259.5,120.7,58.2,71.9,9
F,134.0,101.0,41.0,272.9,121.5,60.5,70.6,9
F,137.0,108.0,43.0,340.5,132.8,73.1,94.7,14
M,137.0,104.0,33.0,303.8,139.8,73.7,80.0,10
F,138.0,108.0,31.0,290.8,124.8,62.1,78.0,9
M,138.0,106.0,42.0,316.6,147.1,81.0,77.3,12
F,138.0,106.0,34.0,310.7,158.9,69.7,73.9,9
M,139.0,112.0,37.0,348.0,177.0,74.3,87.5,10
M,140.0,113.0,36.0,350.2,179.0,67.1,89.2,9
M,140.0,115.0,38.0,454.6,219.0,83.6,127.6,12
F,140.0,105.0,38.0,329.3,170.9,61.4,79.9,9
F,141.0,110.0,34.0,243.8,127.9,47.2,60.2,9
F,142.0,112.0,36.0,330.4,147.0,76.2,90.5,11
M,143.0,110.0,38.0,400.9,209.3,81.4,101.5,12
M,143.0,107.0,38.0,335.1,177.8,62.6,84.0,10
F,144.0,116.0,39.0,420.6,205.3,96.0,107.5,10
F,144.0,110.0,40.0,399.3,180.7,93.8,104.3,10
M,144.0,113.0,29.0,237.4,138.2,38.9,53.7,8
M,145.0,101.0,37.0,395.6,205.2,85.1,90.1,12
F,146.0,115.0,37.0,375.9,186.2,76.0,96.5,12
M,147.0,117.0,37.0,424.8,190.4,110.0,100.0,11
M,149.0,113.0,43.0,386.2,179.2,91.7,100.0,11
F,150.0,114.0,42.0,447.2,221.8,103.9,109.0,11
F,151.0,125.0,42.0,501.0,239.3,102.6,135.7,11
M,151.0,116.0,41.0,401.3,165.9,80.3,119.0,10
F,156.0,126.0,43.0,531.4,297.6,99.7,117.2,11
I,37.0,75.0,24.0,92.9,39.2,20.9,30.0,6
I,49.0,41.0,12.0,15.3,6.8,2.8,4.3,4
I,50.0,37.0,13.0,13.7,5.9,2.8,4.5,5
I,50.0,38.0,13.0,16.7,7.8,3.0,5.0,5
I,55.0,39.0,18.0,22.5,10.9,5.9,7.1,6
I,61.0,43.0,13.0,21.5,8.8,4.1,7.6,5
I,62.0,45.0,14.0,21.1,87.0,3.0,8.0,5
I,63.0,46.0,16.0,27.5,10.9,6.2,8.9,5
I,63.0,46.0,14.0,22.9,9.2,4.7,7.7,5
I,65.0,45.0,15.0,27.8,11.3,6.4,18.0,6
I,66.0,50.0,19.0,41.7,20.4,7.9,10.4,7
I,66.0,41.0,19.0,31.9,15.4,6.4,8.7,5
I,67.0,49.0,18.0,40.3,19.2,8.1,9.6,7
I,68.0,50.0,18.0,35.8,15.5,6.6,11.0,6
I,69.0,51.0,19.0,38.9,18.5,7.4,11.0,6
I,69.0,51.0,17.0,40.1,21.0,7.4,10.0,5
I,70.0,54.0,15.0,43.0,20.0,7.2,13.0,6
I,70.0,51.0,18.0,35.7,17.1,6.1,10.5,8
I,72.0,54.0,17.0,39.2,17.5,7.0,12.8,4
I,73.0,54.0,17.0,37.5,16.2,8.4,11.6,6
I,73.0,54.0,17.0,39.2,16.5,7.5,12.0,7
I,73.0,53.0,17.0,42.6,18.9,9.8,12.0,7
I,74.0,58.0,18.0,48.9,17.8,13.1,15.0,7
I,74.0,56.0,17.0,43.4,21.9,7.0,12.4,6
I,75.0,58.0,19.0,42.6,19.2,8.2,12.2,5
I,75.0,58.0,17.0,47.7,23.6,9.0,13.9,7
I,75.0,55.0,18.0,43.6,18.6,8.1,15.1,6
I,75.0,55.0,19.0,49.3,22.0,8.3,15.5,6
I,75.0,56.0,16.0,40.5,16.5,9.6,13.0,8
I,75.0,54.0,17.0,43.6,18.9,7.8,14.0,7
I,76.0,55.0,22.0,51.2,22.0,10.7,15.1,6
I,76.0,54.0,16.0,42.1,17.3,8.4,14.0,8
I,77.0,58.0,18.0,52.3,22.2,11.9,14.9,9
I,77.0,56.0,17.0,43.5,19.4,7.6,13.4,8
I,77.0,60.0,19.0,60.4,30.4,12.3,14.7,7
I,77.0,56.0,18.0,45.6,20.5,8.4,13.1,5
I,78.0,60.0,19.0,65.3,33.3,11.5,17.8,7
I,79.0,61.0,21.0,56.8,22.7,11.9,18.9,8
I,79.0,59.0,19.0,54.5,23.0,12.5,17.0,8
I,79.0,54.0,20.0,59.7,28.9,12.2,16.4,5
I,80.0,58.0,20.0,53.5,24.1,12.1,15.3,5
I,81.0,57.0,18.0,52.9,25.3,10.1,15.0,6
I,82.0,67.0,22.0,66.0,31.4,14.1,34.0,7
I,84.0,61.0,18.0,65.6,33.6,12.3,16.4,6
I,85.0,65.0,22.0,66.7,34.6,9.0,20.0,7
I,85.0,64.0,20.0,61.1,25.2,12.0,21.2,7
I,85.0,62.0,18.0,60.2,27.7,13.0,16.0,7
I,86.0,68.0,0.0,85.6,41.3,17.2,23.0,8
I,86.0,63.0,19.0,75.6,35.0,16.0,20.9,8
I,87.0,63.0,22.0,73.7,32.3,14.3,24.0,7
I,88.0,68.0,24.0,87.6,42.3,16.6,24.0,9
I,90.0,66.0,21.0,89.6,41.6,17.8,24.0,9
I,91.0,69.0,21.0,80.1,32.8,15.1,25.2,8
F,91.0,73.0,23.0,86.1,36.8,21.6,24.9,8
I,91.0,66.0,20.0,74.4,71.6,15.5,22.0,8
I,92.0,72.0,21.0,93.2,44.5,19.8,22.0,7
I,92.0,70.0,21.0,74.1,31.5,15.4,22.8,9
F,92.0,73.0,25.0,95.7,41.2,20.9,28.2,8
I,93.0,68.0,22.0,69.2,28.5,14.6,22.6,11
I,94.0,73.0,20.0,82.2,35.0,17.1,27.0,8
I,94.0,71.0,36.0,96.0,41.1,21.0,30.1,8
I,94.0,71.0,24.0,78.6,33.4,17.7,23.0,8
I,95.0,71.0,20.0,100.7,50.7,18.2,28.0,8
I,95.0,76.0,24.0,88.2,35.7,17.7,30.1,8
I,95.0,72.0,22.0,98.4,42.2,22.0,30.0,8
I,96.0,74.0,25.0,108.7,48.8,20.2,33.0,9
I,96.0,71.0,23.0,94.5,41.3,22.4,26.4,8
I,96.0,73.0,20.0,92.2,44.1,16.7,27.0,8
I,99.0,71.0,24.0,99.3,42.8,20.9,29.9,8
I,99.0,76.0,26.0,102.5,43.7,23.2,32.0,7
M,99.0,79.0,24.0,110.6,44.8,27.5,33.4,8
I,100.0,76.0,27.0,118.8,58.9,20.8,31.3,9
M,100.0,84.0,27.0,135.3,60.4,28.3,41.3,9
I,100.0,75.0,29.0,115.9,47.8,27.5,37.0,9
I,100.0,82.0,28.0,132.3,51.7,32.5,39.2,9
I,100.0,75.0,25.0,113.9,51.8,24.8,31.4,7
I,100.0,79.0,28.0,124.3,58.5,24.1,39.0,9
I,101.0,81.0,26.0,120.3,60.3,22.0,36.0,8
I,101.0,76.0,24.0,118.8,51.9,28.7,36.0,7
I,101.0,79.0,21.0,110.2,49.6,20.6,34.2,8
I,103.0,76.0,24.0,125.0,65.3,25.9,32.0,7
I,103.0,84.0,27.0,142.2,67.4,28.8,41.0,13
I,103.0,80.0,27.0,139.3,64.0,25.1,35.0,9
I,104.0,80.0,26.0,116.5,46.6,27.3,36.0,10
I,104.0,79.0,25.0,132.6,60.1,26.2,38.1,9
I,105.0,80.0,25.0,139.3,73.8,27.7,32.8,9
M,105.0,84.0,31.0,168.4,85.6,28.3,40.9,9
I,106.0,83.0,26.0,138.8,78.1,22.2,33.4,9
I,106.0,84.0,31.0,162.0,94.5,22.2,38.4,10
I,106.0,83.0,22.0,114.9,50.5,24.7,37.8,9
I,106.0,85.0,26.0,153.5,83.8,24.1,42.0,9
I,107.0,80.0,27.0,120.5,57.9,24.2,30.8,9
I,107.0,83.0,30.0,115.3,71.9,27.0,45.0,8
